 time, vibration, pressure, z_tilt
 14:50:4 2022/6/3,1,897,516
 14:50:4 2022/6/3,1,894,264
 14:50:5 2022/6/3,1,897,304
 14:50:6 2022/6/3,1,896,256
 14:50:6 2022/6/3,1,896,260
 14:50:7 2022/6/3,1,897,240
 14:50:7 2022/6/3,1,897,160
 14:50:8 2022/6/3,0,896,280
 14:50:8 2022/6/3,1,896,216
 14:50:9 2022/6/3,0,896,316
 14:50:9 2022/6/3,0,897,268
 14:50:10 2022/6/3,1,896,236
 14:50:10 2022/6/3,1,894,332
 14:50:11 2022/6/3,1,896,232
 14:50:11 2022/6/3,1,898,560
 14:50:12 2022/6/3,1,897,4
 14:50:12 2022/6/3,1,896,112
 14:50:13 2022/6/3,1,884,448
 14:50:13 2022/6/3,1,885,504
 14:50:14 2022/6/3,1,887,668
 14:50:14 2022/6/3,1,889,456
 14:50:15 2022/6/3,1,889,440
 14:50:15 2022/6/3,1,890,628
 14:50:16 2022/6/3,0,891,152
 14:50:16 2022/6/3,1,892,300
 14:50:17 2022/6/3,1,893,644
 14:50:17 2022/6/3,1,891,452
 14:50:18 2022/6/3,1,892,-12
 14:50:18 2022/6/3,0,894,-84
 14:50:19 2022/6/3,0,898,220
 14:50:19 2022/6/3,1,896,236
 14:50:20 2022/6/3,1,896,328
 14:50:20 2022/6/3,1,893,412
 14:50:21 2022/6/3,1,893,8
 14:50:21 2022/6/3,1,890,236
 14:50:22 2022/6/3,1,884,136
 14:50:22 2022/6/3,1,885,144
 14:50:23 2022/6/3,1,885,-24
 14:50:23 2022/6/3,0,884,116
 14:50:24 2022/6/3,1,885,172
 14:50:24 2022/6/3,0,885,116
 14:50:25 2022/6/3,1023,887,220
 14:50:25 2022/6/3,1023,888,252
 14:50:26 2022/6/3,1,888,-76
 14:50:26 2022/6/3,1,881,336
 14:50:27 2022/6/3,1,885,152
 14:50:27 2022/6/3,0,884,596
 14:50:28 2022/6/3,1,883,316
 14:50:28 2022/6/3,1,881,228
 14:50:29 2022/6/3,1,876,136
 14:50:29 2022/6/3,1,891,-36
 14:50:30 2022/6/3,1,888,280
 14:50:30 2022/6/3,1,884,432
 14:50:31 2022/6/3,1,884,204
 14:50:31 2022/6/3,1,884,216
 14:50:32 2022/6/3,1,880,260
 14:50:32 2022/6/3,1,883,256
 14:50:33 2022/6/3,1,881,436
 14:50:33 2022/6/3,1,880,128
 14:50:34 2022/6/3,1,881,160
 14:50:34 2022/6/3,1,880,308
 14:50:35 2022/6/3,1,886,52
 14:50:35 2022/6/3,1,880,836
 14:50:36 2022/6/3,1,882,304
 14:50:36 2022/6/3,1,880,996
 14:50:37 2022/6/3,0,877,1312
 14:50:37 2022/6/3,1,881,728
 14:50:38 2022/6/3,1,879,800
 14:50:38 2022/6/3,1,875,492
 14:50:39 2022/6/3,1,876,544
 14:50:39 2022/6/3,1,876,484
 14:50:40 2022/6/3,1,872,716
 14:50:40 2022/6/3,1,862,804
 14:50:41 2022/6/3,1,863,552
 14:50:41 2022/6/3,0,861,1160
 14:50:42 2022/6/3,1,888,956
 14:50:42 2022/6/3,0,882,840
 14:50:43 2022/6/3,1,876,1128
 14:50:43 2022/6/3,1,880,984
 14:50:44 2022/6/3,1,878,856
 14:50:44 2022/6/3,1,876,944
 14:50:45 2022/6/3,1,876,1052
 14:50:45 2022/6/3,1,877,920
 14:50:46 2022/6/3,1,877,1316
 14:50:46 2022/6/3,1,878,736
 14:50:47 2022/6/3,1,876,780
 14:50:47 2022/6/3,1,879,692
 14:50:48 2022/6/3,1,880,1036
 14:50:48 2022/6/3,1,874,820
 14:50:49 2022/6/3,1,871,1188
 14:50:49 2022/6/3,1,873,684
 14:50:50 2022/6/3,1,874,1024
 14:50:50 2022/6/3,1,871,1260
 14:50:51 2022/6/3,1,879,1192
 14:50:51 2022/6/3,1,878,1148
 14:50:52 2022/6/3,0,877,1088
 14:50:52 2022/6/3,1,876,1024
 14:50:53 2022/6/3,1,864,1380
 14:50:53 2022/6/3,1,860,1748
 14:50:54 2022/6/3,1,856,1164
 14:50:54 2022/6/3,1,858,1172
 14:50:55 2022/6/3,1,859,1288
 14:50:55 2022/6/3,1,858,1752
 14:50:56 2022/6/3,0,823,8628
 14:50:56 2022/6/3,1,837,9856
 14:50:57 2022/6/3,1,758,11708
 14:50:57 2022/6/3,1,745,13916
 14:50:58 2022/6/3,1,807,14620
 14:50:58 2022/6/3,1,873,14140
 14:50:59 2022/6/3,1,862,13840
 14:50:59 2022/6/3,1,858,12936
 14:51:0 2022/6/3,1,853,13180
 14:51:0 2022/6/3,1,847,13224
 14:51:1 2022/6/3,1,843,12876
 14:51:1 2022/6/3,1,862,13256
 14:51:2 2022/6/3,1,875,13000
 14:51:2 2022/6/3,1,881,12972
 14:51:3 2022/6/3,1,877,13092
 14:51:3 2022/6/3,1,873,12988
 14:51:4 2022/6/3,1,871,12848
 14:51:4 2022/6/3,1,871,12760
 14:51:5 2022/6/3,1,864,12912
 14:51:5 2022/6/3,1,856,12544
 14:51:6 2022/6/3,1,834,12532
 14:51:6 2022/6/3,1,820,12696
 14:51:7 2022/6/3,1,820,12768
 14:51:7 2022/6/3,1,825,12176
 14:51:8 2022/6/3,1,819,12740
 14:51:8 2022/6/3,1,827,12624
 14:51:9 2022/6/3,1,841,12552
 14:51:9 2022/6/3,1,830,12796
 14:51:10 2022/6/3,1,830,12588
 14:51:10 2022/6/3,1,843,12804
 14:51:11 2022/6/3,1,877,12712
 14:51:11 2022/6/3,0,880,12376
 14:51:12 2022/6/3,1,876,12604
 14:51:12 2022/6/3,1,871,12676
 14:51:13 2022/6/3,1,868,12864
 14:51:13 2022/6/3,1,863,12516
 14:51:14 2022/6/3,1,864,12456
